COUNTYNAME,LAT,LON
Allegany County,39.7358,– 078.3147
Anne Arundel County,39.2358,– 076.3486
Baltimore City,39.3719,– 076.5294
Baltimore County,39.735,– 076.2663
Calvert County,38.7675,– 076.3605
Caroline County,39.1438,– 075.6983
Carroll County,39.73,– 076.7825
Cecil County,39.7244,– 075.7522
Charles County,38.7063,– 076.6619
Dorchester County,38.7022,– 075.6997
Frederick County,39.7366,– 077.0961
Garrett County,39.7336,– 078.9138
Harford County,39.7322,– 076.0288
Howard County,39.3686,– 076.6930
Kent County,39.388,– 075.7544
Montgomery County,39.3536,– 076.8883
Prince George’s County,39.1311,– 076.6691
Queen Anne’s County,39.2683,– 075.7261
Somerset County,38.3119,– 075.5216
St. Mary’s County,38.5108,– 076.1852
Talbot County,38.9491,– 075.8908
Washington County,39.7425,– 077.4700
Wicomico County,38.5716,– 075.3077
Worcester County,38.4555,– 075.0450
